"";"Идентификатор";"Комнатность";"Новостройка";"Метро.Район";"Время.до.метро";"Этаж";"Этажность";"Площадь.общая"
"465";24047412;3;"Нет";"Новокузнецкая";5;5;5;73
"466";24017049;3;"Нет";"Белорусская";10;2;6;81
"467";24042609;3;"Нет";"Краснопресненская";5;2;7;81
"468";23817884;3;"Нет";"Добрынинская";NA;3;7;93
"469";23953169;3;"Нет";"Таганская";5;3;4;89
"470";23796413;2;"Нет";"Арбатская";5;3;5;66
"471";23796414;2;"Нет";"Смоленская";5;3;5;66
"472";23119171;2;"Нет";"Киевская";10;8;8;50
"473";24013260;1;"Да";"Октябрьская";10;7;17;53
"474";21774648;2;"Нет";"Маяковская";10;4;9;58
"475";24042838;2;"Нет";"Пушкинская";NA;3;11;62
"476";23796472;2;"Нет";"Таганская";5;11;14;54
"477";23988873;3;"Нет";"Смоленская";7;1;5;80
"478";24042471;3;"Нет";"Маяковская";10;6;6;78
"479";24050002;3;"Нет";"Маяковская";10;5;6;80
"480";23721186;3;"Нет";"Проспект Мира";10;6;14;73
"481";24037175;4;"Нет";"Белорусская";10;7;7;103
"482";23697960;4;"Нет";"Проспект Мира";2;4;9;132
"483";23455530;1;"Нет";"Парк культуры";2;4;8;55
"484";23923171;2;"Нет";"Парк культуры";2;4;7;55
"485";23455529;2;"Нет";"Парк культуры";2;4;8;55
"486";22939041;3;"Нет";"Октябрьская";5;4;14;80
"487";23960996;1;"Нет";"Смоленская";10;2;5;50
"488";23866831;2;"Нет";"Таганская";10;6;9;68
"489";23686647;3;"Нет";"Смоленская";7;4;5;74
"490";23927678;2;"Нет";"Арбатская";10;10;24;53
"491";23986844;2;"Нет";"Красные Ворота";4;8;12;86
"492";23687163;3;"Нет";"Библиотека им. Ленина";15;1;10;75
"493";23694001;3;"Нет";"Полянка";15;1;10;75
"494";24042862;3;"Нет";"Чистые пруды";NA;2;7;76
"495";23313727;3;"Нет";"Киевская";10;2;23;90
"496";20459292;4;"Нет";"Маяковская";5;3;5;91
"497";24043568;3;"Нет";"Октябрьская";7;5;6;75
"498";24042908;1;"Нет";"Курская";10;3;10;62
"499";23966422;1;"Да";"Курская";NA;2;9;62
"500";24008651;1;"Да";"Добрынинская";10;5;12;59
"501";24043351;1;"Нет";"Октябрьская";10;5;12;57
"502";24001706;1;"Да";"Октябрьская";10;10;14;53
"503";24002158;1;"Да";"Добрынинская";10;10;14;53
"504";24001885;1;"Да";"Добрынинская";10;10;14;53
"505";24013261;1;"Да";"Добрынинская";10;10;17;53
"506";24006566;1;"Да";"Октябрьская";10;10;13;53
"507";24002181;1;"Нет";"Октябрьская";10;10;14;53
"508";24002180;1;"Нет";"Октябрьская";10;10;14;53
"509";24002179;1;"Нет";"Октябрьская";10;10;14;53
"510";24002176;1;"Нет";"Серпуховская";10;10;14;53
"511";24002177;1;"Нет";"Серпуховская";10;10;14;53
"512";24002178;1;"Нет";"Октябрьская";10;10;14;53
"513";24002175;1;"Нет";"Серпуховская";10;10;14;53
"514";24002174;1;"Нет";"Серпуховская";10;10;14;53
"515";23059557;2;"Нет";"Смоленская";5;4;12;50
"516";23694064;2;"Нет";"Кропоткинская";7;3;5;54
"517";23044914;2;"Нет";"Таганская";5;2;9;64
"518";22930468;3;"Нет";"Цветной бульвар";5;4;4;86
"519";24042536;1;"Нет";"Новослободская";2;3;13;54
"520";23698060;2;"Нет";"Охотный Ряд";5;5;5;68
"521";24042623;2;"Нет";"Арбатская";12;4;6;59
"522";24043098;2;"Нет";"Чистые пруды";15;2;5;58
"523";24042707;3;"Нет";"Белорусская";NA;4;6;78
"524";23970023;3;"Нет";"Парк культуры";5;3;5;73
"525";23581807;4;"Нет";"Маяковская";5;3;5;86
"526";24037078;4;"Нет";"Белорусская";3;7;8;110
"527";24028580;4;"Нет";"Киевская";5;8;8;73
"528";24013922;5;"Нет";"Комсомольская";5;2;8;104
"529";24001883;1;"Да";"Добрынинская";10;5;14;58
"530";24001884;1;"Да";"Добрынинская";10;5;14;58
"531";24002157;1;"Да";"Добрынинская";10;5;14;58
"532";24002156;1;"Да";"Добрынинская";10;5;14;58
"533";24010766;1;"Да";"Добрынинская";10;5;14;58
"534";24001708;1;"Да";"Октябрьская";10;5;14;59
"535";24010763;1;"Да";"Добрынинская";10;5;14;58
"536";24010764;1;"Да";"Добрынинская";10;5;14;58
"537";24001707;1;"Да";"Октябрьская";10;5;14;59
"538";24010765;1;"Да";"Добрынинская";10;5;14;58
"539";24007248;1;"Да";"Добрынинская";10;5;14;58
"540";24007247;1;"Да";"Добрынинская";10;5;14;58
"541";24010749;1;"Да";"Добрынинская";10;5;14;58
"542";24007249;1;"Да";"Добрынинская";10;5;14;58
"543";24007246;1;"Да";"Добрынинская";10;5;14;58
"544";24010750;1;"Да";"Добрынинская";10;5;14;58
"545";24010751;1;"Да";"Добрынинская";10;5;14;58
"546";24010752;1;"Да";"Добрынинская";10;5;14;58
"547";21418753;3;"Нет";"Новокузнецкая";15;3;8;82
"548";24043037;2;"Нет";"Новокузнецкая";10;9;9;58
"549";24013262;1;"Да";"Серпуховская";10;5;17;59
"550";24007207;1;"Да";"Добрынинская";10;3;14;68
"551";24002159;1;"Да";"Добрынинская";10;3;14;68
"552";24001709;1;"Да";"Октябрьская";10;3;14;68
"553";24001886;1;"Да";"Добрынинская";10;3;14;68
"554";24002047;1;"Да";"Октябрьская";10;3;14;68
"555";23950070;2;"Нет";"Пушкинская";5;5;6;51
"556";24028738;3;"Нет";"Павелецкая";5;5;8;75
"557";24043497;2;"Нет";"Пушкинская";NA;2;8;50
"558";23313689;2;"Нет";"Киевская";5;7;9;87
"559";24042820;3;"Нет";"Боровицкая";10;1;10;75
"560";22501750;3;"Нет";"Киевская";10;5;6;77
"561";24042799;3;"Нет";"Курская";NA;NA;NA;102
"562";23790654;3;"Нет";"Киевская";5;11;14;83
"563";24001888;1;"Да";"Добрынинская";10;5;14;63
"564";24002161;1;"Да";"Добрынинская";10;5;14;63
"565";24007244;1;"Да";"Добрынинская";10;5;14;63
"566";24001711;1;"Да";"Октябрьская";10;5;11;64
"567";24010769;1;"Да";"Добрынинская";10;5;14;63
"568";24010755;1;"Да";"Добрынинская";10;5;14;63
"569";24010753;1;"Да";"Добрынинская";10;5;14;63
"570";24010767;1;"Да";"Добрынинская";10;5;14;63
"571";24007245;1;"Да";"Добрынинская";10;5;14;63
"572";24043177;2;"Нет";"Белорусская";10;12;14;80
"573";23975049;3;"Нет";"Таганская";5;13;14;75
"574";21427298;2;"Нет";"Смоленская";5;1;10;78
"575";24008086;1;"Да";"Таганская";10;2;5;47
"576";24036919;2;"Нет";"Красные Ворота";5;2;6;84
"577";24039656;2;"Нет";"Таганская";10;6;9;67
"578";24052533;3;"Нет";"Новослободская";NA;2;5;82
"579";24042985;3;"Нет";"Таганская";NA;2;13;96
"580";23340754;3;"Нет";"Добрынинская";5;4;7;103
"581";24043728;3;"Нет";"Маяковская";NA;3;8;68
"582";24043134;1;"Нет";"Арбатская";NA;2;6;42
"583";23966419;1;"Да";"Курская";NA;3;9;67
"584";24002160;1;"Да";"Добрынинская";10;5;14;64
"585";24007250;1;"Да";"Добрынинская";10;5;14;64
"586";24001887;1;"Да";"Добрынинская";10;5;14;64
"587";24007251;1;"Да";"Добрынинская";10;5;14;64
"588";24010762;1;"Да";"Добрынинская";10;5;14;64
"589";24010748;1;"Да";"Добрынинская";10;5;14;64
"590";24010761;1;"Да";"Добрынинская";10;5;14;64
"591";24001712;1;"Да";"Октябрьская";10;5;12;65
"592";24010747;1;"Да";"Добрынинская";10;5;14;64
"593";23966417;1;"Да";"Курская";NA;2;9;67
"594";23864459;2;"Нет";"Пушкинская";5;3;8;58
"595";23571306;2;"Нет";"Серпуховская";7;13;21;78
"596";22842042;3;"Нет";"смоленская - синяя";5;2;7;68
"597";23861902;3;"Нет";"Баррикадная";5;5;6;61
"598";23646907;3;"Нет";"Проспект Мира";10;2;NA;90
"599";23076031;3;"Нет";"Добрынинская";8;9;17;75
"600";22985515;3;"Нет";"Киевская";7;13;16;82
"601";23871281;3;"Нет";"Киевская";7;13;16;82
"602";23644339;4;"Нет";"Краснопресненская";7;1;NA;95
"603";23960952;6;"Нет";"Цветной бульвар";7;2;5;103
"604";24008087;1;"Да";"Таганская";10;1;4;49
"605";23949610;4;"Нет";"Менделеевская";10;4;6;80
"606";23652644;1;"Нет";"Серпуховская";10;11;20;58
"607";23966416;1;"Да";"Курская";NA;2;9;69
"608";24043075;2;"Нет";"Курская";10;4;10;69
"609";23805694;3;"Нет";"Охотный Ряд";10;5;NA;71
"610";23805695;3;"Нет";"Третьяковская";7;5;5;71
"611";24042621;4;"Нет";"Красные Ворота";2;2;8;107
"612";23793137;2;"Нет";"Чистые пруды";5;1;9;63
"613";20623105;3;"Нет";"Новокузнецкая";1;2;3;65
"614";22988914;3;"Нет";"Смоленская";1;6;8;70
"615";23455358;3;"Нет";"Новокузнецкая";5;5;8;72
"616";23799116;3;"Нет";"Чистые пруды";7;4;5;74
"617";24043535;3;"Нет";"Арбатская";NA;NA;NA;72
"618";23966978;1;"Да";"Курская";NA;2;9;70
"619";20623132;4;"Нет";"Менделеевская";3;5;6;104
"620";23852915;1;"Да";"Курская";10;6;9;73
"621";23806054;2;"Нет";"Киевская";10;7;12;65
"622";23913092;3;"Нет";"Парк культуры";15;5;5;80
"623";24013264;2;"Да";"Добрынинская";10;6;17;71
"624";24031996;2;"Нет";"Киевская";10;3;7;65
"625";21809816;3;"Нет";"Таганская";10;5;12;90
"626";24043436;3;"Нет";"Киевская";7;8;9;73
"627";23966415;1;"Да";"Курская";NA;2;9;71
"628";24042815;2;"Нет";"Киевская";NA;11;12;83
"629";23967916;3;"Нет";"Проспект Мира";2;8;8;88
"630";21107771;3;"Нет";"Киевская";5;4;8;80
"631";23694329;2;"Нет";"Новокузнецкая";7;5;14;80
"632";23737757;2;"Нет";"Пушкинская";NA;8;8;58
"633";24043046;2;"Нет";"Маяковская";NA;3;7;60
"634";23815524;5;"Нет";"Смоленская";2;2;5;92
"635";24008652;1;"Да";"Добрынинская";10;6;12;68
"636";24043180;2;"Нет";"Октябрьская";10;4;12;75
"637";24014081;2;"Нет";"Смоленская";10;2;9;59
"638";23486038;2;"Нет";"Курская";5;1;6;101
"639";24043546;2;"Нет";"Курская";7;4;6;70
"640";23652851;2;"Нет";"Киевская";5;6;7;65
"641";21560565;3;"Нет";"Маяковская";10;6;6;70
"642";21560568;3;"Нет";"Пушкинская";10;6;6;70
"643";23694076;3;"Нет";"Третьяковская";5;10;14;65
"644";24043060;3;"Нет";"Новокузнецкая";NA;6;6;85
"645";23709857;3;"Нет";"Курская";5;1;6;101
"646";23461778;3;"Нет";"Таганская";10;7;12;101
"647";24052467;4;"Нет";"Новокузнецкая";7;2;6;97
"648";24052469;4;"Нет";"Павелецкая";7;2;6;97
"649";23955313;4;"Нет";"Таганская";3;3;4;99
"650";24013266;2;"Да";"Серпуховская";10;5;17;73
"651";24013265;2;"Да";"Серпуховская";10;5;17;73
"652";24006678;1;"Нет";"Серпуховская";10;6;14;70
"653";24006679;1;"Нет";"Серпуховская";10;6;14;70
"654";24006680;1;"Нет";"Серпуховская";10;6;14;70
"655";24006677;1;"Нет";"Серпуховская";10;6;14;70
"656";24006674;1;"Нет";"Октябрьская";10;6;14;70
"657";24006675;1;"Нет";"Октябрьская";10;6;14;70
"658";24006676;1;"Нет";"Октябрьская";10;6;14;70
"659";24006673;1;"Нет";"Октябрьская";10;6;14;70
"660";24007208;1;"Да";"Добрынинская";10;6;14;70
"661";24001890;1;"Да";"Добрынинская";10;6;14;70
"662";24002163;1;"Да";"Добрынинская";10;6;14;70
"663";24009941;1;"Да";"Добрынинская";10;6;14;70
"664";24001714;1;"Да";"Октябрьская";10;6;14;70
"665";24043368;1;"Нет";"Кропоткинская";5;6;9;46
"666";24006671;1;"Нет";"Октябрьская";10;5;14;68
"667";24006672;1;"Нет";"Октябрьская";10;5;14;68
"668";24006670;1;"Нет";"Октябрьская";10;5;14;68
"669";24006668;1;"Нет";"Октябрьская";10;5;14;68
"670";24006669;1;"Нет";"Октябрьская";10;5;14;68
"671";24010746;1;"Да";"Добрынинская";10;5;14;68
"672";24001889;1;"Да";"Добрынинская";10;5;14;68
"673";24010759;1;"Да";"Добрынинская";10;5;14;68
"674";24010745;1;"Да";"Добрынинская";10;5;14;68
"675";24010760;1;"Да";"Добрынинская";10;5;14;68
"676";24001717;1;"Да";"Октябрьская";10;5;14;68
"677";24002162;1;"Да";"Добрынинская";10;5;14;68
"678";24007253;1;"Да";"Добрынинская";10;5;14;68
"679";24007252;1;"Да";"Добрынинская";10;5;14;68
"680";24013263;1;"Да";"Октябрьская";10;5;17;69
"681";23983081;2;"Нет";"Пушкинская";2;2;10;50
"682";23983082;2;"Нет";"Маяковская";2;2;10;50
"683";24050080;2;"Нет";"Марксистская";15;3;9;86
"684";24042618;3;"Нет";"Чистые пруды";NA;3;6;80
"685";24039817;4;"Нет";"Китай-город";5;6;7;90
"686";24028546;3;"Нет";"Кропоткинская";3;4;5;86
"687";24013030;1;"Да";"Киевская";10;18;47;63
"688";24011011;2;"Нет";"Киевская";10;28;47;62
"689";23938928;3;"Нет";"Киевская";5;2;10;93
"690";24042982;3;"Нет";"Маяковская";NA;4;6;90
"691";24001610;2;"Да";"Октябрьская";10;5;13;75
"692";24040855;2;"Нет";"Полянка";0;3;7;60
"693";24001612;2;"Да";"Октябрьская";10;5;13;76
"694";23571929;2;"Да";"Октябрьская";10;18;27;60
"695";23923170;3;"Нет";"Октябрьская";5;2;8;80
"696";24042574;3;"Нет";"Серпуховская";5;9;12;77
"697";22939192;3;"Нет";"Парк культуры";7;3;8;94
"698";24052477;4;"Нет";"Таганская";7;5;18;105
"699";22296632;5;"Нет";"Белорусская";7;5;5;120
"700";23993744;1;"Да";"Парк культуры";10;6;6;57
"701";24004004;2;"Нет";"Сухаревская";10;3;14;80
"702";24003998;2;"Нет";"Октябрьская";10;3;14;80
"703";24003999;2;"Нет";"Октябрьская";10;3;14;80
"704";24003997;2;"Нет";"Октябрьская";10;3;14;80
"705";24004002;2;"Нет";"Серпуховская";10;3;14;80
"706";24004003;2;"Нет";"Серпуховская";10;3;14;80
"707";24008653;2;"Да";"Добрынинская";10;3;12;80
"708";24004000;2;"Нет";"Серпуховская";10;3;14;80
"709";24004001;2;"Нет";"Серпуховская";10;3;14;80
"710";24003922;2;"Да";"Октябрьская";10;3;12;80
"711";24003459;2;"Да";"Октябрьская";10;3;10;80
"712";24003995;2;"Нет";"Октябрьская";10;3;14;80
"713";24003996;2;"Нет";"Октябрьская";10;3;14;80
"714";24001822;2;"Да";"Серпуховская";10;3;17;80
"715";24002048;2;"Да";"Октябрьская";10;3;14;80
"716";24002049;2;"Да";"Октябрьская";10;3;14;80
"717";23834382;2;"Да";"Серпуховская";10;3;14;80
"718";24001841;2;"Да";"Октябрьская";10;3;14;80
"719";24001613;2;"Да";"Октябрьская";10;3;13;80
"720";24001719;2;"Да";"Октябрьская";10;3;13;80
"721";24007209;2;"Да";"Октябрьская";10;3;14;80
"722";24001895;2;"Да";"Октябрьская";10;3;14;80
"723";24034533;2;"Нет";"Киевская";10;8;22;90
"724";24013268;2;"Да";"Октябрьская";10;5;17;76
"725";24013267;2;"Да";"Октябрьская";10;5;17;76
"726";24004005;2;"Нет";"Серпуховская";10;5;14;76
"727";24004013;2;"Нет";"Октябрьская";10;5;14;76
"728";24004014;2;"Нет";"Октябрьская";10;5;14;76
"729";24008654;2;"Да";"Добрынинская";10;5;12;76
"730";24004009;2;"Нет";"Серпуховская";10;5;14;76
"731";24004007;2;"Нет";"Серпуховская";10;5;14;76
"732";24003938;2;"Да";"Октябрьская";10;5;12;76
"733";24004008;2;"Нет";"Серпуховская";10;5;14;76
"734";24004006;2;"Нет";"Серпуховская";10;5;14;76
"735";24004012;2;"Нет";"Октябрьская";10;5;14;76
"736";24004010;2;"Нет";"Октябрьская";10;5;14;76
"737";24004011;2;"Нет";"Октябрьская";10;5;14;76
"738";24037051;3;"Нет";"Новокузнецкая";1;3;3;103
"739";24001840;2;"Да";"Октябрьская";10;5;14;76
"740";24001823;2;"Да";"Серпуховская";10;5;14;76
"741";24001721;2;"Да";"Октябрьская";10;5;11;76
"742";24001894;2;"Да";"Октябрьская";10;5;14;76
"743";24007256;2;"Да";"Октябрьская";10;5;14;76
"744";24013269;2;"Да";"Добрынинская";10;3;17;76
"745";24013270;2;"Да";"Добрынинская";10;3;17;76
"746";24013271;2;"Да";"Серпуховская";10;3;17;77
"747";23181570;2;"Нет";"Третьяковская";5;3;5;95
"748";24002935;2;"Да";"Серпуховская";10;7;12;75
"749";23241125;3;"Нет";"Арбатская";5;8;8;78
"750";23734201;3;"Нет";"Курская";5;9;9;76
"751";24042906;3;"Нет";"Краснопресненская";10;2;11;90
"752";23966418;1;"Да";"Курская";NA;3;9;77
"753";23455121;3;"Нет";"Трубная";3;3;3;84
"754";20994090;2;"Нет";"Маяковская";5;5;7;86
"755";23989108;5;"Нет";"Красные Ворота";10;6;7;154
"756";24010743;2;"Да";"Октябрьская";10;5;14;75
"757";24010744;2;"Да";"Октябрьская";10;5;14;75
"758";24007255;2;"Да";"Октябрьская";10;5;14;75
"759";24001893;2;"Да";"Октябрьская";10;5;14;75
"760";24001824;2;"Да";"Серпуховская";10;5;14;75
"761";24007254;2;"Да";"Октябрьская";10;5;14;75
"762";24001839;2;"Да";"Октябрьская";10;5;14;75
"763";24010758;2;"Да";"Октябрьская";10;5;14;75
"764";23994250;2;"Да";"Добрынинская";10;7;14;84
"765";24001722;2;"Да";"Октябрьская";10;5;14;75
"766";24010757;2;"Да";"Октябрьская";10;5;14;75
"767";24001725;2;"Да";"Октябрьская";10;7;14;75
"768";24001728;2;"Да";"Октябрьская";10;3;11;76
"769";24001842;2;"Да";"Октябрьская";10;3;14;76
"770";24001896;2;"Да";"Октябрьская";10;3;14;76
"771";23855268;2;"Нет";"Смоленская";2;4;6;56
"772";23988540;2;"Нет";"Краснопресненская";10;10;11;59
"773";23798350;2;"Нет";"Менделеевская";7;9;14;56
"774";24003154;2;"Да";"Добрынинская";10;7;14;74
"775";24042847;2;"Нет";"Киевская";NA;4;12;65
"776";23187573;3;"Нет";"Маяковская";8;5;5;78
"777";23686694;3;"Нет";"Смоленская";3;5;7;73
"778";23787221;3;"Нет";"Чистые пруды";10;4;5;81
"779";24017235;3;"Нет";"Красные Ворота";10;4;5;81
"780";24043407;3;"Нет";"Пушкинская";NA;1;4;55
"781";23818035;3;"Нет";"Таганская";4;4;4;76
"782";23687311;4;"Нет";"Охотный Ряд";5;4;4;112
"783";22988948;5;"Нет";"Цветной бульвар";5;1;4;100
"784";23923220;5;"Нет";"Новокузнецкая";5;3;3;85
"785";23923223;5;"Нет";"Третьяковская";5;2;3;85
"786";23686707;5;"Нет";"Парк культуры";3;1;5;123
"787";24013272;2;"Да";"Октябрьская";10;5;17;76
"788";23455119;2;"Нет";"Пушкинская";5;6;6;50
"789";24042853;1;"Нет";"Маяковская";5;4;10;52
"790";23986700;2;"Нет";"Арбатская";5;2;6;60
"791";24031990;2;"Нет";"Библиотека им. Ленина";2;2;9;80
"792";24042773;3;"Нет";"Кропоткинская";5;2;5;83
"793";23249505;4;"Нет";"Арбатская";2;5;5;96
"794";23249506;4;"Нет";"Кропоткинская";2;5;5;96
"795";23989286;4;"Нет";"Китай-город";5;2;6;90
"796";21064454;2;"Нет";"Библиотека им. Ленина";5;3;12;70
"797";21582874;3;"Нет";"Библиотека им. Ленина";5;3;12;70
"798";24043557;3;"Нет";"Смоленская";NA;4;5;74
"799";24001843;2;"Да";"Октябрьская";10;9;14;73
"800";24007210;2;"Да";"Октябрьская";10;9;14;73
"801";24001897;2;"Да";"Октябрьская";10;9;14;73
"802";23687296;4;"Нет";"Тверская";7;1;6;76
"803";23988976;2;"Нет";"Киевская";7;9;12;70
"804";23697815;3;"Нет";"Полянка";5;4;6;85
"805";23749760;3;"Нет";"Цветной бульвар";5;3;10;100
"806";23749754;4;"Нет";"Цветной бульвар";5;3;10;100
"807";23734214;4;"Нет";"Парк культуры";5;4;5;129
"808";23876112;5;"Нет";"Маяковская";5;3;6;105
"809";24042628;4;"Нет";"Красные Ворота";NA;NA;NA;118
"810";24013273;2;"Да";"Добрынинская";10;5;17;75
"811";24013274;2;"Да";"Добрынинская";10;5;17;75
"812";24043133;4;"Нет";"Кропоткинская";NA;3;6;99
"813";24003497;2;"Нет";"Октябрьская";10;3;10;81
"814";24011255;1;"Нет";"Киевская";10;2;36;74
"815";24013275;2;"Да";"Серпуховская";10;3;17;76
"816";24043044;3;"Нет";"Смоленская";5;5;5;95
"817";24013138;1;"Да";"Киевская";10;2;32;75
"818";24001899;2;"Да";"Октябрьская";10;11;14;80
"819";24001730;2;"Да";"Октябрьская";10;3;11;76
"820";24001845;2;"Да";"Октябрьская";10;11;14;80
"821";24007213;2;"Да";"Октябрьская";10;11;14;80
"822";24001900;2;"Да";"Октябрьская";10;3;14;76
"823";24001733;2;"Да";"Октябрьская";10;3;11;76
"824";24007211;2;"Да";"Октябрьская";10;3;14;76
"825";24001740;2;"Да";"Октябрьская";10;5;11;77
"826";24001846;2;"Да";"Октябрьская";10;3;14;76
"827";24013276;2;"Да";"Октябрьская";10;5;17;80
"828";24002274;2;"Да";"Октябрьская";10;5;13;77
"829";24001847;2;"Да";"Добрынинская";10;5;14;77
"830";24001901;2;"Да";"Добрынинская";10;5;14;77
"831";24007212;2;"Да";"Добрынинская";10;5;14;77
"832";24008656;2;"Да";"Добрынинская";10;7;12;79
"833";24001902;2;"Да";"Добрынинская";10;9;14;75
"834";24007214;2;"Да";"Добрынинская";10;9;14;75
"835";24001848;2;"Да";"Добрынинская";10;9;14;75
"836";23455438;3;"Нет";"Октябрьская";NA;6;8;96
"837";24013277;2;"Да";"Добрынинская";10;5;17;80
"838";24013278;2;"Да";"Добрынинская";10;5;17;80
"839";22435169;4;"Нет";"Проспект Мира";5;3;8;108
"840";23955391;4;"Нет";"Проспект Мира";2;3;8;108
"841";23187505;4;"Нет";"Проспект Мира";10;3;8;108
"842";24003940;2;"Да";"Октябрьская";10;9;12;74
"843";24001743;2;"Да";"Октябрьская";10;9;11;74
"844";24001837;2;"Да";"Октябрьская";10;9;14;73
"845";24001891;2;"Да";"Октябрьская";10;9;14;73
"846";24010756;2;"Да";"Октябрьская";10;9;14;73
"847";24007243;2;"Да";"Октябрьская";10;9;14;73
"848";24007242;2;"Да";"Октябрьская";10;9;14;73
"849";24010754;2;"Да";"Октябрьская";10;9;14;73
"850";24010768;2;"Да";"Октябрьская";10;9;14;73
"851";24010770;2;"Да";"Октябрьская";10;9;14;73
"852";24011256;1;"Нет";"Киевская";10;4;36;72
"853";24013139;1;"Да";"Киевская";10;4;32;73
"854";24013279;2;"Да";"Серпуховская";10;5;17;83
"855";23966421;1;"Да";"Курская";NA;2;9;85
"856";20758972;2;"Нет";"Новослободская";5;9;14;56
"857";24042871;2;"Нет";"Октябрьская";3;6;8;76
"858";24009939;2;"Да";"Добрынинская";10;5;13;76
"859";24008657;2;"Да";"Добрынинская";10;10;12;77
"860";24004648;2;"Нет";"Октябрьская";10;7;14;75
"861";24005174;2;"Да";"Серпуховская";10;10;14;77
"862";24006429;2;"Нет";"Серпуховская";10;10;12;77
"863";24004649;2;"Нет";"Октябрьская";10;7;14;75
"864";24043321;2;"Нет";"Киевская";NA;7;14;65
"865";23745076;3;"Нет";"Смоленская";2;5;9;104
"866";24049965;3;"Нет";"Сухаревская";2;4;5;87
"867";20623109;3;"Нет";"Краснопресненская";10;6;8;67
"868";23927677;3;"Нет";"Киевская";7;5;11;75
"869";22862313;4;"Нет";"Китай-город";7;2;5;106
"870";23805991;4;"Нет";"Цветной бульвар";2;6;7;83
"871";24042730;4;"Нет";"Пушкинская";10;4;4;107
"872";23671080;4;"Нет";"Новослободская";10;2;10;106
"873";23966420;1;"Да";"Курская";NA;5;9;73
"874";23966423;1;"Да";"Курская";NA;3;9;85
"875";24013280;2;"Да";"Октябрьская";10;9;17;74
"876";24013140;1;"Да";"Киевская";10;9;32;71
"877";24013141;1;"Да";"Киевская";10;9;32;71
"878";24007215;2;"Да";"Добрынинская";10;5;14;79
"879";24001903;2;"Да";"Добрынинская";10;5;14;79
"880";24001849;2;"Да";"Добрынинская";10;5;14;79
"881";24005178;2;"Да";"Серпуховская";10;9;14;76
"882";23808674;3;"Нет";"Смоленская";2;7;8;90
"883";24005179;2;"Да";"Серпуховская";10;5;14;83
"884";24005180;2;"Да";"Серпуховская";10;9;14;76
"885";24001838;2;"Да";"Октябрьская";10;10;14;76
"886";24003460;2;"Да";"Октябрьская";10;10;11;77
"887";24001825;2;"Да";"Серпуховская";10;10;17;77
"888";24001939;2;"Да";"Октябрьская";10;10;14;77
"889";24003794;2;"Да";"Октябрьская";10;10;12;77
"890";24003499;2;"Нет";"Октябрьская";10;10;11;76
"891";24001892;2;"Да";"Октябрьская";10;10;14;76
"892";24002050;2;"Да";"Октябрьская";10;10;14;76
"893";24002042;2;"Да";"Добрынинская";10;10;12;77
"894";24002937;2;"Да";"Серпуховская";10;8;10;82
"895";24002053;2;"Да";"Октябрьская";10;10;14;76
"896";24002052;2;"Да";"Октябрьская";10;10;14;76
"897";24002051;2;"Да";"Октябрьская";10;10;14;76
"898";24000578;2;"Да";"Октябрьская";10;10;12;77
"899";24042785;3;"Нет";"Смоленская";5;4;9;72
"900";23126779;4;"Нет";"Киевская";10;5;8;98
"901";24013282;2;"Да";"Добрынинская";10;9;17;76
"902";24013281;2;"Да";"Добрынинская";10;9;17;76
"903";24005215;2;"Да";"Серпуховская";10;9;14;76
"904";24001940;2;"Да";"Октябрьская";10;9;14;76
"905";24009934;2;"Да";"Добрынинская";10;9;14;76
"906";24009337;2;"Да";"Добрынинская";10;9;11;75
"907";24001941;2;"Да";"Октябрьская";10;5;14;80
"908";24005217;2;"Да";"Серпуховская";10;9;14;77
"909";24006366;3;"Нет";"Киевская";10;11;12;109
"910";23324333;4;"Нет";"Красные Ворота";7;5;7;156
"911";24001905;2;"Да";"Добрынинская";10;4;14;84
"912";24001851;2;"Да";"Добрынинская";10;4;14;84
"913";24007216;2;"Да";"Добрынинская";10;4;14;84
"914";24013284;2;"Да";"Серпуховская";10;9;17;76
"915";24013283;2;"Да";"Серпуховская";10;9;17;76
"916";24042705;2;"Нет";"Охотный Ряд";NA;4;13;67
"917";20514669;3;"Нет";"Пушкинская";NA;2;6;83
"918";22930460;3;"Нет";"Краснопресненская";10;5;7;93
"919";22919179;4;"Нет";"Трубная";2;2;8;100
"920";24039687;4;"Нет";"Павелецкая";5;7;NA;115
"921";23989020;4;"Нет";"Серпуховская";5;2;7;94
"922";23414792;5;"Нет";"смоленская - синяя";8;2;10;120
"923";24043325;5;"Нет";"Красные Ворота";2;4;8;150
"924";23614310;6;"Нет";"Краснопресненская";3;6;6;125
"925";24002279;2;"Да";"Киевская";10;8;47;98
"926";24013285;2;"Да";"Октябрьская";10;9;17;76
"927";24001942;2;"Да";"Октябрьская";10;9;14;74
"928";24001898;2;"Да";"Октябрьская";10;9;14;73
"929";24001844;2;"Да";"Октябрьская";10;9;14;73
"930";24013286;2;"Да";"Добрынинская";10;5;17;84
"931";24009338;2;"Да";"Добрынинская";10;5;13;83
"932";24005219;2;"Да";"Серпуховская";10;5;14;84
"933";24001943;2;"Да";"Октябрьская";10;4;14;84
"934";24013287;2;"Да";"Серпуховская";10;9;17;77
"935";23815666;3;"Нет";"Белорусская";5;10;11;76
"936";22935918;5;"Нет";"Пушкинская";NA;4;4;91
"937";23999885;2;"Нет";"Парк культуры";10;2;6;73
