"";"Идентификатор";"Комнатность";"Новостройка";"Метро.Район";"Время.до.метро";"Этаж";"Этажность";"Площадь.общая"
"108";22950996;1;"Нет";"Красные Ворота";10;5;6;40
"109";23805673;1;"Нет";"Цветной бульвар";7;3;10;36
"110";23805674;1;"Нет";"Сухаревская";5;3;10;36
"111";22988421;1;"Нет";"Проспект Мира";10;5;6;40
"112";23805672;1;"Нет";"Проспект Мира";7;3;NA;36
"113";23250697;1;"Нет";"Курская";5;1;12;39
"114";23855245;2;"Нет";"Белорусская";5;5;5;54
"115";23955343;2;"Нет";"Курская";5;3;3;63
"116";24050079;2;"Нет";"Проспект Мира";10;7;12;50
"117";23455459;2;"Нет";"Павелецкая";5;3;9;60
"118";22380444;2;"Нет";"Таганская";7;10;14;45
"119";24013901;3;"Нет";"Таганская";12;3;7;74
"120";23815720;2;"Нет";"Сухаревская";5;4;5;37
"121";23686792;2;"Нет";"Новослободская";5;2;5;43
"122";23709831;2;"Нет";"Киевская";NA;11;17;55
"123";23694488;1;"Нет";"Таганская";4;6;14;37
"124";23686692;2;"Нет";"Смоленская";3;5;7;73
"125";24052427;2;"Нет";"Таганская";10;13;17;47
"126";23614202;3;"Нет";"Таганская";7;3;5;76
"127";23961041;2;"Нет";"Добрынинская";10;3;9;49
"128";24017173;3;"Нет";"Добрынинская";10;3;9;49
"129";23960912;3;"Нет";"Павелецкая";20;5;7;71
"130";23756971;2;"Нет";"Менделеевская";10;16;17;54
"131";23746967;2;"Нет";"Проспект Мира";5;2;14;52
"132";23756968;2;"Нет";"Белорусская";10;16;17;54
"133";23756970;2;"Нет";"Новослободская";10;16;17;54
"134";23905835;2;"Нет";"Белорусская";7;4;12;40
"135";23961323;2;"Нет";"Белорусская";10;2;9;47
"136";23961316;2;"Нет";"Белорусская";10;2;9;47
"137";23963743;2;"Нет";"Добрынинская";10;14;14;54
"138";23455132;4;"Нет";"Павелецкая";5;4;4;57
"139";23864446;2;"Нет";"Серпуховская";5;2;8;53
"140";23374902;1;"Нет";"Полянка";5;6;14;39
"141";23817987;1;"Нет";"Китай-город";5;4;5;44
"142";24043704;1;"Нет";"Пушкинская";10;10;16;40
"143";24042708;1;"Нет";"Таганская";10;NA;NA;37
"144";23426412;2;"Нет";"Комсомольская";1;6;8;55
"145";23787220;2;"Нет";"Курская";5;5;9;44
"146";23454971;2;"Нет";"Добрынинская";5;12;14;54
"147";23983133;4;"Нет";"Серпуховская";5;1;5;70
"148";22663939;1;"Нет";"Краснопресненская";6;5;15;38
"149";24008168;2;"Нет";"Комсомольская";10;6;9;54
"150";24037143;2;"Нет";"Комсомольская";3;6;8;55
"151";23787181;3;"Нет";"Серпуховская";1;2;3;71
"152";21953207;2;"Нет";"Сухаревская";5;3;12;39
"153";24043229;1;"Нет";"Марксистская";1;9;17;34
"154";24008015;1;"Нет";"Октябрьская";10;7;17;50
"155";23455161;2;"Нет";"Смоленская";10;5;5;43
"156";24036730;2;"Нет";"Серпуховская";10;6;6;60
"157";24036992;2;"Нет";"Парк культуры";7;10;17;45
"158";23866848;2;"Нет";"Киевская";5;3;8;56
"159";24050060;3;"Нет";"Красные Ворота";7;1;9;67
"160";21526488;3;"Нет";"Киевская";5;9;10;54
"161";23805926;3;"Нет";"Красные Ворота";5;4;8;65
"162";23805927;3;"Нет";"Комсомольская";5;4;8;65
"163";23960983;1;"Нет";"Смоленская";1;4;9;36
"164";23796186;1;"Нет";"Цветной бульвар";10;11;16;36
"165";23686667;2;"Нет";"Белорусская";10;4;8;60
"166";22380441;1;"Нет";"Смоленская";7;1;6;38
"167";21774603;1;"Нет";"Баррикадная";7;1;6;38
"168";23994501;2;"Нет";"Баррикадная";10;1;5;46
"169";24036921;2;"Нет";"Таганская";5;8;17;53
"170";22988898;2;"Нет";"Таганская";3;1;9;53
"171";23806032;2;"Нет";"Серпуховская";5;5;5;62
"172";24043634;2;"Нет";"Киевская";7;3;8;56
"173";23818043;3;"Нет";"Павелецкая";10;7;9;80
"174";23657058;2;"Нет";"Сухаревская";7;3;16;53
"175";23718575;2;"Нет";"Новослободская";10;8;12;47
"176";23805534;2;"Нет";"Киевская";5;8;8;47
"177";24052499;3;"Нет";"Белорусская";7;6;9;54
"178";23953259;2;"Нет";"Маяковская";7;4;4;60
"179";24036908;2;"Нет";"Киевская";12;3;9;40
"180";24035124;2;"Нет";"Парк культуры";8;1;4;63
"181";23796347;2;"Нет";"Таганская";7;5;14;54
"182";23684378;1;"Нет";"Смоленская";7;1;14;35
"183";23684406;1;"Нет";"Кропоткинская";7;1;14;35
"184";23905852;2;"Нет";"Новослободская";10;4;5;60
"185";24042938;2;"Нет";"Таганская";10;2;16;40
"186";23210403;2;"Нет";"Таганская";3;2;9;53
"187";23927673;3;"Нет";"Белорусская";7;1;10;62
"188";23636940;3;"Нет";"Павелецкая";10;5;5;78
"189";24049254;3;"Нет";"Новослободская";15;3;5;74
"190";22842085;3;"Нет";"Октябрьская";7;2;6;64
